k,2,4,8,16
3,130.4,288.6,983.2,4338.4
4,209.0,446.0,1410.2,5789.0
5,298.0,695.4,1936.2,7216.2
6,395.6,931.4,2717.4,8986.0
7,817.4,1737.2,4741.2,13284.2
